x_id,x_kind,disposition,pressure_id,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
core.Scope.versioned,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.versioned,"SC-COL,SC-PROG,SC-MIS",1,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.identity,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.identity,"SC-COL,SC-PROG,SC-MIS",1,identity=scope_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.form,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.form,"SC-COL,SC-PROG,SC-MIS",1,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.status,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.status,none,not-applicable,"model status=OPEN; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.invariants,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.invariants,none,not-applicable,"cites ['I1', 'I17']",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.scope_type,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.scope_type,"SC-COL,SC-PROG,SC-MIS,SC-TEAM",1,set on 4/4 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.name,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.name,"SC-COL,SC-PROG,SC-MIS,SC-TEAM",1,set on 4/4 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.objective,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.objective,"SC-COL,SC-PROG,SC-MIS,SC-TEAM",1,set on 4/4 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.authority_root_ref,Scope,construct-pressure,PR-SCOPE-AUTHORITY-ROOT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.authority_root_ref,"SC-COL,SC-PROG,SC-MIS,SC-TEAM",1,set on 4/4 Scopes and identical on all four (AC-OWNER) because a nested Scope holds no undelegated authority,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,pressure,model-defect,"SC-TEAM and SC-MIS are nested Scopes holding no undelegated authority, yet Scope.authority_root_ref is required and defined as 'holder of undelegated authority for this Scope'. Naming the owner makes the field non-informative on every nested Scope; naming the leader asserts undelegated authority the leader did not hold (authority laundering).","strained-representable: encoded as AC-OWNER on all four Scopes, so the field carries no information below the collective",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Scope.fields.effective_at,Scope,construct-pressure,PR-SCOPE-EFFECTIVE-AT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.effective_at,"SC-COL,SC-PROG,SC-MIS,SC-TEAM",1,set on 4/4; APPROXIMATED on ['SC-COL'],wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,pressure,historical-evidence-gap,Scope.effective_at is required; the fixed alphabet establishes no founding date for the collective. Encoded as a lower bound from the earliest method commit 1a9b3d3 (2026-06-24) and marked _approx.,representable with an approximated value,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
