fixture_id,x_item,model_path,mutation,violated_rule,expected_rejection_point,expected_check_kind,mechanizability,actual_result,checker_output,illustrative_output,operationalization,evidence_path,note
F-A01,core.Goal.fields.success_criteria (required: true),core.Goal.fields.success_criteria,delete the required field success_criteria from SYN-GO-1,field required: true,CK-FIELD-REQUIRED,mechanical,determined-by-M01,rejected-mechanically,[CK-FIELD-REQUIRED] Goal/SYN-GO-1: missing required field 'success_criteria',,none,artifacts/rejection-results.csv,
F-A02,notation.types.timestamp,core.Record.fields.created_at,"set SYN-RC-1.created_at to the free text ""last tuesday""",type: timestamp,CK-TYPE,mechanical,operationalizable(O3),rejected-mechanically,[CK-TYPE] Record/SYN-RC-1.created_at: 'last tuesday' is not a timestamp (O3),,O3 — timestamp = ISO-8601; M01 defines no lexical form,artifacts/rejection-results.csv,
F-A03,notation.types.bool,supporting.EffectBoundary.fields.can_refuse,"set can_refuse to the string ""yes""",type: bool,CK-TYPE,mechanical,determined-by-M01,rejected-mechanically,"[CK-TYPE] EffectBoundary/SYN-EB-FORGE.can_refuse: expected bool, got str",,none,artifacts/rejection-results.csv,
F-A04,notation.types.digest,core.Record.fields.content_digest,"set content_digest to ""digest-1""",type: digest,CK-TYPE,mechanical,operationalizable(O2),rejected-mechanically,[CK-TYPE] Record/SYN-RC-1.content_digest: 'digest-1' is not a digest (O2),,O2 — digest lexical form; M01 defines none,artifacts/rejection-results.csv,
F-A05,core.Actor.fields.actor_type enum,core.Actor.fields.actor_type,"set actor_type to ""team""","enum[human,agent,service,deterministic-component]",CK-ENUM,mechanical,determined-by-M01,rejected-mechanically,"[CK-ENUM] Actor/SYN-AC-AGENT.actor_type: 'team' not in enum['human', 'agent', 'service', 'deterministic-component']",,none,artifacts/rejection-results.csv,
F-A06,supporting.Attempt.fields.disposition enum,supporting.Attempt.fields.disposition,"set disposition to ""failed""","enum[continue,hold,cancel,rework,complete]",CK-ENUM,mechanical,determined-by-M01,rejected-mechanically,"[CK-ENUM] Attempt/SYN-AT-1.disposition: 'failed' not in enum['continue', 'hold', 'cancel', 'rework', 'complete']",,none,artifacts/rejection-results.csv,
F-A07,supporting.Gate.fields.procedure enum,supporting.Gate.fields.procedure,"set procedure to ""hybrid""","enum[deterministic,judgment]",CK-ENUM,mechanical,determined-by-M01,rejected-mechanically,"[CK-ENUM] Gate/SYN-GT-1.procedure: 'hybrid' not in enum['deterministic', 'judgment']",,none,artifacts/rejection-results.csv,
F-A08,core.Record.fields.evidence_altitude enum,core.Record.fields.evidence_altitude,"set evidence_altitude to ""mechanical""","enum[directional,behavioral]",CK-ENUM,mechanical,determined-by-M01,rejected-mechanically,"[CK-ENUM] Record/SYN-RC-1.evidence_altitude: 'mechanical' not in enum['directional', 'behavioral']",,none,artifacts/rejection-results.csv,
F-A09,values.evidence_grade,core.Capability.fields.grade,"set Capability grade to ""verified""","ref<value.evidence_grade> = [missing, claimed, partial, proven]",CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Capability/SYN-CP-1.grade: 'verified' not in value.evidence_grade ['claimed', 'missing', 'partial', 'proven']",,none,artifacts/rejection-results.csv,
F-A10,values.significance,core.Event.fields.significance,"set significance to ""critical""","ref<value.significance> = [routine, exception, surprise]",CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Event/SYN-EV-1.significance: 'critical' not in value.significance ['exception', 'routine', 'surprise']",,none,artifacts/rejection-results.csv,
