traversal_id,question,method,declared_path,result,status,note,cost
T-01,Goal SYN-GO-1 -> applicable Workflows,implementation index over Workflow.applies_to (built by full scan),Workflow.applies_to (one-way; A3 withdrawn in M02 s7),"SYN-WF-A,SYN-WF-B",demonstrated-by-index,"M01 declares no index, no query layer and no Scope bound on the scan; the index is an implementation artifact outside the model",O(|Workflow|)=2 full scan
T-02,Goal SYN-GO-1 -> applicable Workflows,declared relations only,Goal.directs -> Unit.follows -> Workflow,SYN-WF-A,partial-proxy,incomplete: misses applicable Workflows with no Unit yet ['SYN-WF-B']; unsound: returns governing Workflows never declared applies_to []. M01 states no rule linking Unit.follows to Workflow.applies_to.,O(|directs|+|units|) bounded by the Goal
T-01,Goal SYN-GO-2 -> applicable Workflows,implementation index over Workflow.applies_to (built by full scan),Workflow.applies_to (one-way; A3 withdrawn in M02 s7),(none),demonstrated-by-index,"M01 declares no index, no query layer and no Scope bound on the scan; the index is an implementation artifact outside the model",O(|Workflow|)=2 full scan
T-02,Goal SYN-GO-2 -> applicable Workflows,declared relations only,Goal.directs -> Unit.follows -> Workflow,SYN-WF-A,partial-proxy,incomplete: misses applicable Workflows with no Unit yet []; unsound: returns governing Workflows never declared applies_to ['SYN-WF-A']. M01 states no rule linking Unit.follows to Workflow.applies_to.,O(|directs|+|units|) bounded by the Goal
T-03,Actor SYN-AC-OWNER -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),(none),demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-OWNER -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
T-05,Actor SYN-AC-OWNER -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-OWNER -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,(none),equivalent-on-this-instance,unreachable participation [] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-03,Actor SYN-AC-CUSTODIAN -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),(none),demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-CUSTODIAN -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
