x_class,model_path,disposition,instance_ref,value_or_witness,provenance,custody,applicable_checks,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
principle,principles.small_core,exercised,whole instance,All seven core constructs carry at least one vnc-045 instance; no eighth common construct was needed to encode the case.,derived,not-applicable,"I13,I14",none - no checker,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principle,principles.supporting_definitions,exercised,"WF-01..GT-08,EB-01..03,AT-01..17,TE-01..03,SK-01..03,RO-01..13,DL-01..13",All eight supporting definitions instantiated; none required redefining a core entity.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principle,principles.extend_by_registration,construct-pressure,CP-02,"Held for unit_kind, record_category and effect_class (three empty registries populated as program extensions). FAILED for the grade vocabulary: the observed value 'asserted' has no registry and no extension_owner to enter through.",doc-claim,not-applicable,I19,none,still-open,model-defect,"values.evidence_grade is RESOLVED and closed at [missing,claimed,partial,proven] with no registry, no extension_owner and no admission rule, while principles.program_ownership says programs own proof bars. The observed program's set is {proven,partial,missing,asserted} (SR-10) and it explicitly ruled 'claimed' a slip (S01 OQ-1).",reject,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
principle,principles.construct_admission_bar,exercised,advisory_reviews AR-01..03,Applied as a negative test: the advisory product review was NOT admitted as a new construct; it fits communication Event + advisory-review Record.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principle,principles.separation_is_the_product,exercised,EV-07..EV-30,"All six separations exercised. Sharpest: claim/observation (EV-26 reported vs EV-27 mechanical) and outcome/decision/consequence (AR-01..03 recommendations recorded, not adopted).",derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principle,principles.authority_chain,construct-pressure,DL-01..DL-13,Chain expressible (DL-06 -> DL-01 -> SC-01 in two hops) but wholly inferred; no artefact in the alphabet states a grant.,inference,none,I17,specified-not-enforced,not-applicable,historical-evidence-gap,"No Delegation artefact exists; autonomy_tier, effect_grants and escalation_conditions are reconstructed from T01/T02 spawn templates and resource_ceiling has no source at all.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
principle,principles.program_ownership,construct-pressure,registry_extensions,"Programs did own unit_kind/record_category/effect_class here. They do NOT own the grade vocabulary, which the case needs and V5 closes.",derived,not-applicable,not-applicable,none,not-applicable,model-defect,Same evidence as principles.extend_by_registration.,reject,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
principle,principles.method_custody,exercised,"WF-01,WF-02","DEMONSTRATED: PR #929 changed 57 files, none under .claude/. The governed activity did not edit its governing definition.",forge,git/GitHub (EB-01),I18,"none - conformance is observed, not enforced; no branch rule protects .claude/",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principle,principles.inverse_relations,exercised,traversal_checks,Both required one-way traversals resolved by index scan with no relation added.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.status,exercised,whole instance,Consumed while parsing M01 and encoding the case.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.identity,exercised,whole instance,Consumed while parsing M01 and encoding the case.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.versioned,exercised,whole instance,Consumed while parsing M01 and encoding the case.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.fields,exercised,whole instance,Consumed while parsing M01 and encoding the case.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.relations,exercised,whole instance,Consumed while parsing M01 and encoding the case.,derived,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation,notation.types,construct-pressure,"EB-01,CP-02,TE-01","The declared type set is where three fields fail: bool (EffectBoundary.can_refuse), ref<value.evidence_grade> (CP-02, TE-01) and timestamp (EV-05.occurred_at) all have no admissible value from the alphabet.",derived,not-applicable,not-applicable,none,not-applicable,model-defect|historical-evidence-gap,"M01 offers no 'unestablished' or 'unknown' member for a REQUIRED typed field, so an honest encoder must write a claim or leave the instance non-conforming. values.currentness has 'unknown' and effect_disposition has 'unknown'; the type system does not.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,partial,not-applicable,not-applicable,not-applicable
core-attr,core.Scope.status,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
