x_id,x_class,row_scope,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,w1_disposition,w2_disposition,reconciled_disposition,divergence_class,divergence_adjudication,w3_fixture_ids,w3_results,w3_adverse,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator,evolution_candidate_id,evolution_challenge_result,w4_adjudication
principles.small_core,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.small_core,[W2] whole instance,not-applicable,"[W1] all seven core entities present except Capability, which is absent for evidence reasons, not modelling reasons || [W2] All seven core constructs carry at least one vnc-045 instance; no eighth common construct was needed to encode the case.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,"[W1] see instance + wfh-008-validate.py output || [W2] I13,I14",[W1] n/a || [W2] none - no checker,[W1] the hypothesis survives this case on six of seven core entities,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect,"[W1] R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","[W1] NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",[W1] not-proposed,[W1] the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,[W1] no,not-applicable,not-applicable,"[W1] whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case",not-applicable,not-applicable,not-applicable
principles.supporting_definitions,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.supporting_definitions,"[W2] WF-01..GT-08,EB-01..03,AT-01..17,TE-01..03,SK-01..03,RO-01..13,DL-01..13",not-applicable,[W1] all eight supporting definitions instantiated; EffectBoundary has exactly one instance and Technology three || [W2] All eight supporting definitions instantiated; none required redefining a core entity.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.extend_by_registration,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.extend_by_registration,[W2] CP-02,not-applicable,"[W1] four registries extended, zero new entities needed - including the unauthorized-change case, which the registry absorbed || [W2] Held for unit_kind, record_category and effect_class (three empty registries populated as program extensions). FAILED for the grade vocabulary: the observed value 'asserted' has no registry and no extension_owner to enter through.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] doc-claim,not-applicable,[W1] see instance + wfh-008-validate.py output || [W2] I19,[W1] n/a,[W1] strong positive || [W2] still-open,exercised,construct-pressure,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,model-defect,"[W2] values.evidence_grade is RESOLVED and closed at [missing,claimed,partial,proven] with no registry, no extension_owner and no admission rule, while principles.program_ownership says programs own proof bars. The observed program's set is {proven,partial,missing,asserted} (SR-10) and it explicitly ruled 'claimed' a slip (S01 OQ-1).",[W2] reject,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.construct_admission_bar,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.construct_admission_bar,[W2] advisory_reviews AR-01..03,not-applicable,[W1] no case behavior required a new construct; the closest call (unauthorized definition change) fitted a registered event type || [W2] Applied as a negative test: the advisory product review was NOT admitted as a new construct; it fits communication Event + advisory-review Record.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.separation_is_the_product,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.separation_is_the_product,[W2] EV-07..EV-30,not-applicable,"[W1] competence/capability, claim/observation, outcome/decision/consequence and record/effect all held. delivery/proof is UNTESTED (no Capability) and intent/enforcement FAILED on the evidence side - intent is everywhere, enforcement nowhere. || [W2] All six separations exercised. Sharpest: claim/observation (EV-26 reported vs EV-27 mechanical) and outcome/decision/consequence (AR-01..03 recommendations recorded, not adopted).",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced,[W1] n/a,construct-pressure,exercised,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,enforcement-gap,"[W1] I12's second clause says only an EffectBoundary disposition demonstrates enforced authority. The checker reports Delegation.enforced_by empty on 31 of 31 Delegations. The single refusal receipt in the case (EV-018/EV-019, five refused context_cycle calls) is a PAYLOAD-SHAPE refusal - the run's own disclosure confirms agent_id was present on all five - so it demonstrates schema enforcement, not authority. The garage's strongest custody claim, the single-writer curator rule, has no enforcement point: any actor may call context_store, and the server checks only that an identity string is present, not who sent it.","[W1] REPRESENTABLE AND EMPTY: the case demonstrates ZERO enforced authority. This is a correct and important negative, not a model failure.",[W1] not-proposed,[W1] making the curator rule enforced needs a credential boundary that does not exist and cannot be costed from the fixed alphabet; proposing it would be the build recommendation this scope forbids,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.authority_chain,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.authority_chain,[W2] DL-01..DL-13,not-applicable,[W1] every Delegation traces to SC-COL's authority_root_ref AC-OWNER; checker PASS || [W2] Chain expressible (DL-06 -> DL-01 -> SC-01 in two hops) but wholly inferred; no artefact in the alphabet states a grant.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] inference,not-applicable,[W1] see instance + wfh-008-validate.py output || [W2] I17,[W1] partially checkable || [W2] specified-not-enforced,[W1] n/a,exercised,construct-pressure,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,historical-evidence-gap,"[W2] No Delegation artefact exists; autonomy_tier, effect_grants and escalation_conditions are reconstructed from T01/T02 spawn templates and resource_ceiling has no source at all.",[W2] represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.program_ownership,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.program_ownership,[W2] registry_extensions,not-applicable,"[W1] the program owns nine record categories, eight unit kinds, five effect classes and the proof bar; the common model owns identity and invariants || [W2] Programs did own unit_kind/record_category/effect_class here. They do NOT own the grade vocabulary, which the case needs and V5 closes.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,construct-pressure,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,model-defect,[W2] Same evidence as principles.extend_by_registration.,[W2] reject,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
principles.method_custody,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.method_custody,"[W2] WF-01,WF-02",not-applicable,"[W1] the principle is stated and the project does not implement it || [W2] DEMONSTRATED: PR #929 changed 57 files, none under .claude/. The governed activity did not edit its governing definition.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] forge,[W2] git/GitHub (EB-01),[W1] see instance + wfh-008-validate.py output || [W2] I18,"[W1] specified-not-enforced || [W2] none - conformance is observed, not enforced; no branch rule protects .claude/",[W1] n/a,construct-pressure,exercised,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,enforcement-gap|project-evolution-candidate,"[W1] I18 requires Workflow/Gate/Delegation custody to sit outside the governed activity. All method definitions live in .claude/ inside the repository the governed agents write to; there is NO CODEOWNERS file and no branch-protection artifact in the tree. The most recent revision of research-scope.md (9d7806a, 2026-08-27) was authored by the agent identity 'Claude Opus 4.8' - the governed actor class edited its own governing definition. Separately, an npx install silently overwrote twelve method files on 2026-08-27 with no decision Event.","[W1] representable, and the instance records the custody as prose because there is nothing else to record; definition_custodian_ref is marked _approx on WF-RESEARCH-SCOPE",[W1] see CF-02 - a sha256 manifest over the method surface plus a drift check,"[W1] an evidenced integrity incident that nothing detected mechanically; the argument is about that incident, not about a data model","[W1] detects drift; explicitly does NOT establish custody, because the manifest is itself editable by the governed party (the #320 predicate applies to it)","[W1] one manifest, one hook, one protocol line; recurring regeneration on legitimate method change",[W1] .claude/settings.json; a new .claude/METHOD-MANIFEST.sha256; .claude/workflow/research-scope.md,[W1] yes,[W1] yes,[W1] detection improves; I18 remains UNSATISFIED in both forms - the evolution does not repair it,[W1] open.custody_enforcement says no common enforcement point exists; whether I18 is satisfiable inside a single repository at all is not decidable here,W1/CF-02,survives (all six challenges; states its own limit - a manifest detects drift and does not establish custody),not-applicable
principles.inverse_relations,principle,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",principles.inverse_relations,[W2] traversal_checks,not-applicable,"[W1] 24 declared inverses required mechanical closure in this instance - they are real constraints, not decoration. The withdrawn A3 back-pointers (Goal->Workflow, Actor->Attempt) were served by index instead, and both traversals ran. || [W2] Both required one-way traversals resolved by index scan with no relation added.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked,[W1] the A3 withdrawal is vindicated by this case,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation.status,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.status,[W2] whole instance,not-applicable,"[W1] OPEN/RESOLVED read on every construct and consumed as test input, not as permission || [W2] Consumed while parsing M01 and encoding the case.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
