Parent Process ID,Parent Process Name,Child Process ID,Child Process Name,Relationship Type,Sequence Order,Dependency Type,Trigger Condition,Success Criteria
PROC-PAYMENT-ROOT,Payment Processing,PROC-001,Customer Onboarding,Prerequisite,1,Hard,New customer registration,Account created successfully
PROC-PAYMENT-ROOT,Payment Processing,PROC-002,Payment Authorization,Core Process,2,Hard,Payment request received,Authorization response generated
PROC-PAYMENT-ROOT,Payment Processing,PROC-005,Payment Capture,Sequential,3,Hard,Authorization successful,Funds captured successfully
PROC-PAYMENT-ROOT,Payment Processing,PROC-006,Settlement Processing,Sequential,4,Hard,Capture completed,Settlement confirmed
PROC-PAYMENT-ROOT,Payment Processing,PROC-003,Settlement Reconciliation,Post-Process,5,Hard,Settlement completed,Reconciliation matched
PROC-002,Payment Authorization,PROC-007,Fraud Screening,Sub-Process,1,Hard,Authorization request,Risk score calculated
PROC-002,Payment Authorization,PROC-008,Network Authorization,Sub-Process,2,Hard,Fraud check passed,Network response received
PROC-001,Customer Onboarding,PROC-009,Identity Verification,Sub-Process,1,Hard,Customer application submitted,Identity confirmed
PROC-001,Customer Onboarding,PROC-010,Risk Assessment,Sub-Process,2,Hard,Identity verified,Risk score assigned
PROC-001,Customer Onboarding,PROC-011,Account Provisioning,Sub-Process,3,Hard,Risk assessment passed,Account activated
PROC-004,Cross-Border Payment Processing,PROC-012,Sanctions Screening,Sub-Process,1,Hard,International payment initiated,Sanctions check completed
PROC-004,Cross-Border Payment Processing,PROC-013,FX Conversion,Sub-Process,2,Hard,Sanctions screening passed,Currency converted
PROC-004,Cross-Border Payment Processing,PROC-014,SWIFT Processing,Sub-Process,3,Hard,FX conversion completed,SWIFT message sent
PROC-006,Settlement Processing,PROC-015,Net Position Calculation,Sub-Process,1,Hard,Settlement batch created,Net positions calculated
PROC-006,Settlement Processing,PROC-016,Bank Transfer Initiation,Sub-Process,2,Hard,Net positions calculated,Transfer instructions sent
PROC-003,Settlement Reconciliation,PROC-017,Transaction Matching,Sub-Process,1,Hard,Settlement files received,Matches identified
PROC-003,Settlement Reconciliation,PROC-018,Exception Investigation,Sub-Process,2,Soft,Unmatched items found,Exceptions resolved
PROC-018,Exception Investigation,PROC-019,Manual Research,Sub-Process,1,Hard,Exception identified,Root cause found
PROC-018,Exception Investigation,PROC-020,Corrective Action,Sub-Process,2,Hard,Root cause identified,Correction applied
